"X_ID","Company_Name","Description","Company_Focus","Industry","Company_Address","Valuation","City","Country","State","Company_Reg_No_","Founded_Date","Operational_Status","Company_Size","Ownership","Funding_Round","Investment","Investment_Date","Investor_Company","Funding_Money"
"45","AeroMotive Technologies","AeroMotive Technologies designs and manufactures cutting-edge automotive components, enhancing vehicle performance and safety.","B2B","Technology & Innovation","o. 116 & 118, Lebuh Acheh, 10200 George Town, Penang, Malaysia.","39000000","George Town","Malaysia","Penang","74501T","4/2/2020","Operational","11-50","Angel","Early","Seed","10/17/2022","Infinite Sphere"," $ 22,000,000,000,000.00 "
"45","AeroMotive Technologies","AeroMotive Technologies designs and manufactures cutting-edge automotive components, enhancing vehicle performance and safety.","B2B","Technology & Innovation","o. 116 & 118, Lebuh Acheh, 10200 George Town, Penang, Malaysia.","39000000","George Town","Malaysia","Penang","74501T","4/2/2020","Operational","11-50","Angel","Early","Seed","12/1/2022","Pioneer Ventures"," $ 44,000,000,000,000.00 "
"27","AeroSpace Dynamics","AeroSpace Dynamics manufactures high-performance aerospace components, driving innovation in aviation and space exploration.","B2B","Logistics & Infrastructure","o. 116 & 118, Lebuh Acheh, 10200 George Town, Penang, Malaysia.","80000000","George Town","Malaysia","Penang","74501T","4/3/2020","Operational","11-50","Angel","Early","Seed","8/26/2023","Vista Forge"," $ 96,000,000,000,000.00 "
"41","AgroTech Innovations","AgroTech Innovations develops advanced agricultural technologies, increasing crop yields and sustainability.","B2B","Sustainability & Environment","No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam","71000000","Shah Alam","Malaysia","Selangor","19325G","2/13/2021","Operational","11-50","Crowdfunded","Late","Seed","9/7/2021","Pioneer Voyage"," $ 11,000,000,000,000.00 "
"71","Angkasa Education","Angkasa Education is revolutionizing the retail landscape with unique market integrations and consumer-focused technologies.","Others","Retail & Marketplace","10 Jalan Bukit Bintang","37000000","Johor","Malaysia","Johor","94426F","1/28/2023","Operational","11-50","Crowdfunded","Early","Seed","6/30/2023","Pioneer Horizons"," $ 18,000,000,000,000.00 "
"71","Angkasa Education","Angkasa Education is revolutionizing the retail landscape with unique market integrations and consumer-focused technologies.","Others","Retail & Marketplace","10 Jalan Bukit Bintang","37000000","Johor","Malaysia","Johor","94426F","1/28/2023","Operational","11-50","Crowdfunded","Early","Seed","8/31/2023","Pioneer Crest"," $ 12,000,000,000,000.00 "
"71","Angkasa Education","Angkasa Education is revolutionizing the retail landscape with unique market integrations and consumer-focused technologies.","Others","Retail & Marketplace","10 Jalan Bukit Bintang","37000000","Johor","Malaysia","Johor","94426F","1/28/2023","Operational","11-50","Crowdfunded","Early","Series A","7/11/2023","Catalyst Crest"," $ 71,000,000,000,000.00 "
"71","Angkasa Education","Angkasa Education is revolutionizing the retail landscape with unique market integrations and consumer-focused technologies.","Others","Retail & Marketplace","10 Jalan Bukit Bintang","37000000","Johor","Malaysia","Johor","94426F","1/28/2023","Operational","11-50","Crowdfunded","Early","Series A","12/12/2023","Vista Forge"," $ 3,000,000,000,000.00 "
"3","AquaPure Technologies","AquaPure Technologies focuses on water purification systems and environmental conservation, ensuring clean and safe water for communities.","Others","Sustainability & Environment","Jalan Kolam Air 05675 Alor Setar Kedah Darul Aman","8000000","Alor Setar","Malaysia","Kedah","12985S","5/21/2021","Operational","11-50","Venture Capital","Early","Series A","9/2/2022","Nex Crest"," $ 59,000,000,000,000.00 "
"3","AquaPure Technologies","AquaPure Technologies focuses on water purification systems and environmental conservation, ensuring clean and safe water for communities.","Others","Sustainability & Environment","Jalan Kolam Air 05675 Alor Setar Kedah Darul Aman","8000000","Alor Setar","Malaysia","Kedah","12985S","5/21/2021","Operational","11-50","Venture Capital","Early","Series A","6/26/2022","Infinite Crest"," $ 46,000,000,000,000.00 "
"3","AquaPure Technologies","AquaPure Technologies focuses on water purification systems and environmental conservation, ensuring clean and safe water for communities.","Others","Sustainability & Environment","Jalan Kolam Air 05675 Alor Setar Kedah Darul Aman","8000000","Alor Setar","Malaysia","Kedah","12985S","5/21/2021","Operational","11-50","Venture Capital","Early","Series A","10/18/2022","Infinite Sphere"," $ 82,000,000,000,000.00 "
"34","AquaShield Maritime","AquaShield Maritime provides cutting-edge maritime security solutions, ensuring the safety of vessels and marine environments.","B2B","Sustainability & Environment","o. 116 & 118, Lebuh Acheh, 10200 George Town, Penang, Malaysia.","13000000","George Town","Malaysia","Penang","87836B","4/18/2023","Operational","2-10","Public","Early","Seed","8/3/2023","Pioneer Ventures"," $ 63,000,000,000,000.00 "
"34","AquaShield Maritime","AquaShield Maritime provides cutting-edge maritime security solutions, ensuring the safety of vessels and marine environments.","B2B","Sustainability & Environment","o. 116 & 118, Lebuh Acheh, 10200 George Town, Penang, Malaysia.","13000000","George Town","Malaysia","Penang","87836B","4/18/2023","Operational","2-10","Public","Early","Seed","10/6/2023","Nova Forge"," $ 49,000,000,000,000.00 "
"34","AquaShield Maritime","AquaShield Maritime provides cutting-edge maritime security solutions, ensuring the safety of vessels and marine environments.","B2B","Sustainability & Environment","o. 116 & 118, Lebuh Acheh, 10200 George Town, Penang, Malaysia.","13000000","George Town","Malaysia","Penang","87836B","4/18/2023","Operational","2-10","Public","Early","Seed","10/21/2023","Catalyst Ventures"," $ 70,000,000,000,000.00 "
"40","BrightFuture Education","BrightFuture Education offers cutting-edge educational technology and resources, enhancing learning experiences for students.","B2C","Other","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia","8000000","Malacca City","Malaysia","Malacca","95277O","9/22/2019","Operational","11-50","Venture Capital","Late","Seed","7/3/2022","Vista Forge"," $ 30,000,000,000,000.00 "
"40","BrightFuture Education","BrightFuture Education offers cutting-edge educational technology and resources, enhancing learning experiences for students.","B2C","Other","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia","8000000","Malacca City","Malaysia","Malacca","95277O","9/22/2019","Operational","11-50","Venture Capital","Late","Seed","9/28/2020","Arc Junction"," $ 70,000,000,000,000.00 "
"48","CyberWave Solutions","CyberWave Solutions offers comprehensive IT and cybersecurity services, protecting businesses from digital threats.","B2B","Technology & Innovation","Jalan Kolam Air 05675 Alor Setar Kedah Darul Aman","6000000","Alor Setar","Malaysia","Kedah","87584X","12/13/2021","Operational","11-50","Crowdfunded","Early","Series A","9/26/2022","Pioneer Spark"," $ 36,000,000,000,000.00 "
