Company_Name,Description,Company_Focus,Industry,Company_Address,Valuation,City,Country,State,Company_Reg_No_,Founded_Date,Operational_Status,Company_Size,Ownership,Funding_Round,Investment,,,,
AeroMotive Technologies,"AeroMotive Technologies designs and manufactures cutting-edge automotive components, enhancing vehicle performance and safety.",B2B,Technology & Innovation,"o. 116 & 118, Lebuh Acheh, 10200 George Town, Penang, Malaysia.",39000000,George Town,Malaysia,Penang,74501T,2/4/2020,Operational,11-50,Angel,Early,Seed,,,,
AeroSpace Dynamics,"AeroSpace Dynamics manufactures high-performance aerospace components, driving innovation in aviation and space exploration.",B2B,Logistics & Infrastructure,"o. 116 & 118, Lebuh Acheh, 10200 George Town, Penang, Malaysia.",80000000,George Town,Malaysia,Penang,74501T,3/4/2020,Operational,11-50,Angel,Early,Seed,,,,
AgroTech Innovations,"AgroTech Innovations develops advanced agricultural technologies, increasing crop yields and sustainability.",B2B,Sustainability & Environment,"No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam",71000000,Shah Alam,Malaysia,Selangor,19325G,13/2/2021,Operational,11-50,Crowdfunded,Late,Seed,,,,
Angkasa Education,Angkasa Education is revolutionizing the retail landscape with unique market integrations and consumer-focused technologies.,Others,Retail & Marketplace,10 Jalan Bukit Bintang,37000000,Johor,Malaysia,Johor,94426F,28/1/2023,Operational,11-50,Crowdfunded,Early,Seed,,,,
AquaPure Technologies,"AquaPure Technologies focuses on water purification systems and environmental conservation, ensuring clean and safe water for communities.",Others,Sustainability & Environment,Jalan Kolam Air 05675 Alor Setar Kedah Darul Aman,8000000,Alor Setar,Malaysia,Kedah,12985S,21/5/2021,Operational,11-50,Venture Capital,Early,Series A,,,,
AquaShield Maritime,"AquaShield Maritime provides cutting-edge maritime security solutions, ensuring the safety of vessels and marine environments.",B2B,Sustainability & Environment,"o. 116 & 118, Lebuh Acheh, 10200 George Town, Penang, Malaysia.",13000000,George Town,Malaysia,Penang,87836B,18/4/2023,Operational,2-10,Public,Early,Seed,,,,
BrightFuture Education,"BrightFuture Education offers cutting-edge educational technology and resources, enhancing learning experiences for students.",B2C,Other,"Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia",8000000,Malacca City,Malaysia,Malacca,95277O,22/9/2019,Operational,11-50,Venture Capital,Late,Seed,,,,
CyberWave Solutions,"CyberWave Solutions offers comprehensive IT and cybersecurity services, protecting businesses from digital threats.",B2B,Technology & Innovation,Jalan Kolam Air 05675 Alor Setar Kedah Darul Aman,6000000,Alor Setar,Malaysia,Kedah,87584X,13/12/2021,Operational,11-50,Crowdfunded,Early,Series A,,,,
Daya Logistics,Daya Logistics delivers innovative financial solutions designed to empower businesses and individuals in Malaysia.,Others,Financial Services,150 Jalan Tun Abdul Razak,94000000,Kuala Lumpur,Malaysia,Kuala Lumpur,33193A,17/5/2022,Operational,11-50,Venture Capital,Late,Series B,,,,
EcoFusion Energy,"EcoFusion Energy develops innovative fusion energy technologies, aiming to provide a limitless and clean energy source.",Others,Sustainability & Environment,"Jalan Conlay, 50450 Kuala Lumpur, Malaysia ",87000000,Kuala Lumpur,Malaysia,Wilayah Persekutuan,81502Y,21/3/2022,Operational,2-10,Crowdfunded,Early,Series A,,,,
EcoHarvest Farms,"EcoHarvest Farms operates large-scale organic farms, supplying fresh and sustainable produce to markets.",B2C,Sustainability & Environment,"Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia",25000000,Malacca City,Malaysia,Malacca,87008I,11/6/2020,Operational,11-50,Crowdfunded,Early,Seed,,,,
EcoWave Solutions,"EcoWave Solutions provides innovative marine energy systems, harnessing the power of ocean waves to generate clean electricity.",Others,Sustainability & Environment,"Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia",12000000,Malacca City,Malaysia,Malacca,75160K,17/6/2020,Operational,2-10,Venture Capital,Mid,Seed,,,,
EvoGen Pharmaceuticals,"EvoGen Pharmaceuticals researches and develops new medications and therapies, improving treatment options for various diseases.",B2B,Healthcare & Education,"No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam",12000000,Shah Alam,Malaysia,Selangor,19639T,22/2/2022,Operational,11-50,Venture Capital,Mid,Seed,,,,
Harmoni Finance,"Harmoni Finance is redefining logistics and infrastructure with smart, scalable solutions that drive efficiency.",Others,Logistics & Infrastructure,50 Jalan Sultan Ismail,38000000,Johor,Malaysia,Johor,42605U,22/11/2021,Operational,2-10,Angel,Early,Seed,,,,
Harmoni Logistics,"Harmoni Logistics leads in cutting-edge technological advancements, offering pioneering solutions to modern problems.",B2C,Technology & Innovation,50 Jalan Sultan Ismail,34000000,Penang,Malaysia,Penang,46716P,24/1/2022,Operational,2-10,Venture Capital,Early,Seed,,,,
Helix HealthTech,"Helix HealthTech develops cutting-edge medical devices and health monitoring systems, improving patient care and outcomes.",B2B,Healthcare & Education,"No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam",97000000,Shah Alam,Malaysia,Selangor,99708J,18/8/2022,Operational,11-50,Crowdfunded,Early,Seed,,,,
Infinite Horizons,"Infinite Horizons offers pioneering space tourism experiences, making space travel accessible to the general public.",Others,Other,"No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam",57000000,Shah Alam,Malaysia,Selangor,24182F,27/3/2023,Operational,2-10,Bootstrapped,Mid,Series A,,,,
Infinity MedTech,"Infinity MedTech creates innovative medical devices and diagnostic tools, enhancing healthcare delivery and patient outcomes.",B2B,Healthcare & Education,"Pullman Kuching Interhill Place, No. 1A, Jalan Mathies, 93100 Kuching, Sarawak Malaysia ",100000000,Kuching,Malaysia,Sarawak,82819G,17/10/2021,Operational,2-10,Crowdfunded,Late,Series B,,,,
Merdeka Energy,Merdeka Energy combines healthcare and educational innovations to enhance the well-being and knowledge of Malaysians.,B2C,Healthcare & Education,100 Persiaran Gurney,48000000,Penang,Malaysia,Penang,92948B,22/1/2022,Operational,11-50,Crowdfunded,Early,Seed,,,,
NeoGen Labs,"NeoGen Labs conducts advanced genetic research, developing therapies and solutions for genetic disorders.",Others,Healthcare & Education," Lorong Pandan. Damai 2/1, Taman Pandan. Damai (TAS) 25150 Kuantan",91000000,Kuantan,Malaysia,Pahang,53041G,16/1/2020,Operational,2-10,Public,Late,Series A,,,,
NextEra Robotics,"NextEra Robotics develops next-generation robotics and AI solutions, transforming industries with intelligent automation.",B2B,Technology & Innovation,"Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia",4000000,Malacca City,Malaysia,Malacca,80562K,11/4/2023,Operational,2-10,Bootstrapped,Early,Seed,,,,
NextGen Biotech,"NextGen Biotech pioneers in genetic research and biotechnology, creating innovative solutions for healthcare and agriculture.",Others,Technology & Innovation,"Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia
",80000000,Malacca City,Malaysia,Malacca,78292X,2/4/2022,Operational,11-50,Crowdfunded,Early,Series A,,,,
NextWave Communications,"NextWave Communications offers innovative telecommunications services, enhancing connectivity and communication.",B2B,Technology & Innovation,"5-11, Jalan Kuning, Taman Sri Pelangi, 18432 Johor Bahru, Johor",84000000,Johor Bahru,Malaysia,Johor,16133P,9/2/2019,Operational,11-50,Crowdfunded,Early,Seed,,,,
NovaTech Solutions,"NovaTech Solutions specializes in innovative software development and IT consulting, providing cutting-edge solutions for businesses worldwide.",B2B,Technology & Innovation,"5-11, Jalan Kuning, Taman Sri Pelangi, 18432 Johor Bahru, Johor",10000000,Johor Bahru,Malaysia,Johor,61662H,1/8/2021,Operational,11-50,Crowdfunded,Early,Seed,,,,
OptiHealth Solutions,"OptiHealth Solutions provides personalized health and wellness programs, using advanced analytics to optimize individual health.",B2C,Healthcare & Education," Block E, Unit 28, 3rd Floor, KK Times Square, 88100 Kota Kinabalu, Sabah, Malaysia.",41000000,Kota Kinabalu,Malaysia,Sabah,49894X,19/7/2019,Operational,2-10,Crowdfunded,Early,Seed,,,,
Pelangi Education,Pelangi Education is revolutionizing the retail landscape with unique market integrations and consumer-focused technologies.,Others,Retail & Marketplace,100 Persiaran Gurney,35000000,Penang,Malaysia,Penang,54982P,26/7/2021,Operational,2-10,Venture Capital,Early,Series B,,,,
Pelangi Finance,"Pelangi Finance is redefining logistics and infrastructure with smart, scalable solutions that drive efficiency.",Others,Logistics & Infrastructure,200 Jalan KK Bypass,25000000,Penang,Malaysia,Penang,50631Y,1/11/2022,Operational,2-10,Venture Capital,Early,Seed,,,,
Perdana Education,"Perdana Education is redefining logistics and infrastructure with smart, scalable solutions that drive efficiency.",B2B,Logistics & Infrastructure,200 Jalan KK Bypass,41000000,Penang,Malaysia,Penang,96604L,25/4/2019,Operational,201-500,Crowdfunded,Early,Seed,,,,
PureLife Organics,"PureLife Organics produces high-quality organic food products, promoting healthy and sustainable living.",B2C,Sustainability & Environment,"5-11, Jalan Kuning, Taman Sri Pelangi, 18432 Johor Bahru, Johor",40000000,Johor Bahru,Malaysia,Johor,40537F,6/12/2020,Operational,11-50,Venture Capital,Early,Series B,,,,
Seri Media,Seri Media is revolutionizing the retail landscape with unique market integrations and consumer-focused technologies.,B2C,Retail & Marketplace,200 Jalan KK Bypass,90000000,Penang,Malaysia,Penang,67700K,19/12/2023,Operational,201-500,Crowdfunded,Early,Seed,,,,
Seri Tech,"Seri Tech is redefining logistics and infrastructure with smart, scalable solutions that drive efficiency.",B2B,Logistics & Infrastructure,10 Jalan Bukit Bintang,65000000,Johor,Malaysia,Johor,50502X,19/11/2021,Operational,11-50,Crowdfunded,Early,Seed,,,,
Skyline Aerospace,"Skyline Aerospace designs and manufactures state-of-the-art aircraft and aerospace components, leading the industry in aviation technology.",B2B,Technology & Innovation,"1 Borneo, Kota Kinabalu, Sabah is 88450.",66000000,Kota Kinabalu,Malaysia,Sabah,72554Q,11/12/2021,Operational,11-50,Angel,Early,Seed,,,,
SkyNet Robotics,"SkyNet Robotics specializes in advanced robotics and AI technologies, transforming industries with automation solutions.",B2B,Technology & Innovation,"No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam",67000000,Shah Alam,Malaysia,Selangor,19096E,19/8/2020,Operational,11-50,Venture Capital,Mid,Seed,,,,
SmartGrid Solutions,"SmartGrid Solutions offers intelligent energy management systems, optimizing power distribution and consumption.",B2B,Sustainability & Environment,"18, Jalan On Chung Siew, 30250, Ipoh, Perak, Malaysia. ",45000000,Ipoh,Malaysia,Perak,61655V,2/2/2020,Operational,201-500,Crowdfunded,Late,Seed,,,,
SolarFlare Innovations,"SolarFlare Innovations develops advanced solar energy products, promoting renewable energy adoption worldwide.",B2C,Sustainability & Environment,"Pullman Kuching Interhill Place, No. 1A, Jalan Mathies, 93100 Kuching, Sarawak Malaysia ",29000000,Kuching,Malaysia,Sarawak,39393D,12/12/2020,Operational,11-50,Public,Early,Series B,,,,
Solaris Energy Systems,"Solaris Energy Systems provides comprehensive solar energy solutions, from residential installations to large-scale solar farms.",B2B,Sustainability & Environment,"5-11, Jalan Kuning, Taman Sri Pelangi, 18432 Johor Bahru, Johor",83000000,Johor Bahru,Malaysia,Johor,30959A,16/5/2023,Operational,11-50,Venture Capital,Early,Seed,,,,
TechFusion Labs,"TechFusion Labs provides cutting-edge R&D services in emerging technologies, from AI to nanotechnology.",B2B,Technology & Innovation," Block E, Unit 28, 3rd Floor, KK Times Square, 88100 Kota Kinabalu, Sabah, Malaysia.",78000000,Kota Kinabalu,Malaysia,Sabah,38824N,2/11/2020,Operational,11-50,Venture Capital,Late,Seed,,,,
TerraCycle Waste Management,"TerraCycle Waste Management offers innovative recycling and waste management solutions, promoting environmental sustainability.",B2B,Sustainability & Environment,"Pullman Kuching Interhill Place, No. 1A, Jalan Mathies, 93100 Kuching, Sarawak Malaysia ",94000000,Kuching,Malaysia,Sarawak,31811S,17/4/2020,Operational,2-10,Venture Capital,Early,Seed,,,,
Titan Logistics,"Titan Logistics offers comprehensive logistics and supply chain solutions, ensuring efficient and timely delivery of goods.",B2B,Logistics & Infrastructure,"Pullman Kuching Interhill Place, No. 1A, Jalan Mathies, 93100 Kuching, Sarawak Malaysia ",65000000,Kuching,Malaysia,Sarawak,17988X,1/6/2023,Operational,11-50,Crowdfunded,Early,Seed,,,,
Titanium Automotive,"Titanium Automotive designs and produces high-performance electric vehicles, leading the transition to sustainable transportation.",B2C,Technology & Innovation,"Pullman Kuching Interhill Place, No. 1A, Jalan Mathies, 93100 Kuching, Sarawak Malaysia ",76000000,Kuching,Malaysia,Sarawak,68526Z,9/10/2021,Operational,11-50,Crowdfunded,Early,Seed,,,,
UrbanGrid Networks,"UrbanGrid Networks specializes in smart city infrastructure, offering advanced urban planning and intelligent transportation solutions.",B2B,Technology & Innovation,"18, Jalan Chung On Siew, 30250, Ipoh, Perak, Malaysia. ",90000000,Ipoh,Malaysia,Perak,56434G,26/6/2019,Operational,2-10,Bootstrapped,Early,Seed,,,,
Verde Electronics,"Verde Electronics designs eco-friendly consumer electronics, reducing environmental impact through sustainable manufacturing.",B2C,Sustainability & Environment," Block E, Unit 28, 3rd Floor, KK Times Square, 88100 Kota Kinabalu, Sabah, Malaysia.",2000000,Kota Kinabalu,Malaysia,Sabah,66218P,10/9/2020,Operational,11-50,Angel,Early,Seed,,,,
Vertex Pharmaceuticals,Vertex Pharmaceuticals is a leader in developing groundbreaking treatments for rare diseases and chronic conditions.,B2B,Healthcare & Education,"18, Jalan On Chung Siew, 30250, Ipoh, Perak, Malaysia. ",72000000,Ipoh,Malaysia,Perak,19641O,7/7/2020,Operational,201-500,Venture Capital,Late,Seed,,,,
Zenith Financial Group,"Zenith Financial Group provides expert financial advisory services, helping individuals and businesses achieve their financial goals.",B2B,Financial Services,Jalan Kolam Air 05675 Alor Setar Kedah Darul Aman,73000000,Alor Setar,Malaysia,Kedah,23535U,24/12/2022,Operational,11-50,Crowdfunded,Early,Seed,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
